pair,ca,cb,feature,median_a,median_b,mean_a,mean_b,direction,p_value
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,nb_cc_NCR,8.0,6.0,19.367170626349893,12.229299363057326,>,0.0004458589437964625
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,nb_cc_baseline_NCR,69.0,54.0,84.13390928725703,69.06369426751593,>,0.0023880026443913113
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,vol_TC,31980.0,25198.0,39068.98056155507,32328.579617834395,>,0.007803757259030916
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,euler_ET,-2.0,0.0,-11.174946004319654,-5.1847133757961785,<,0.031164838620576982
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,pca_elongation_WT,1.7329,1.7732,1.8141758099352052,1.9056477707006367,<,0.08147715007424013
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,frac_small_cc_NCR,0.002658,0.001759,0.01928706911447084,0.03623583439490445,>,0.09015339709977453
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,nb_cc_baseline_ET,2.0,2.0,2.980561555075594,3.56687898089172,=,0.11644456227461544
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,euler_TC,1.0,2.0,2.3304535637149026,2.1656050955414012,<,0.14547778454541288
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,cc_spread_ET,0.2152,0.3259,2.486782937365011,3.692614649681529,<,0.18968560782334998
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,euler_WT,1.0,1.0,2.4384449244060473,2.5923566878980893,=,0.2052406879783919
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,cavities_WT,2.0,3.0,7.870410367170626,9.095541401273886,<,0.22724942133292136
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,frac_small_cc_ET,2.5e-05,5e-05,0.0017031965442764576,0.017819324840764327,<,0.28300104002097903
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,sphericity_WT,0.412697,0.40115,0.408668969762419,0.40209221656050953,>,0.382439919335385
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,surface_roughness_WT,2.423088,2.492836,2.5571342462203024,2.6530852929936306,<,0.382439919335385
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,vol_WT,91161.0,85112.0,97115.96328293736,92102.3949044586,>,0.433218018220063
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,nb_cc_distmap_ET,2.0,2.0,3.14902807775378,3.738853503184713,=,0.7259669596109457
